anomesdia,geracao_gas_fossil,geracao_carvao_duro,carga_total_real,preco_dia_seguinte,preco_real,temperatura,velocidade_vento
2015-06-04,3808.4166666666665,2090.75,24208.125,38.86583333333333,66.59208333333333,295.89495052083333,1.9416666666666667
2015-06-05,5774.875,5648.833333333333,28085.875,59.111250000000005,66.22041666666667,295.49765807291664,2.0416666666666665
2015-06-06,4237.25,5492.958333333333,26690.166666666668,48.46458333333333,58.38291666666667,295.29311249999995,2.025
2015-06-07,7027.708333333333,7861.416666666667,32821.458333333336,60.595416666666665,57.85625,295.8686953125,1.925
2015-06-08,7165.341463414634,6991.463414634146,30653.154471544716,61.72040650406504,67.18983739837398,296.5470198170732,2.154471544715447
2015-06-09,4137.583333333333,5219.916666666667,23019.0,49.312916666666666,67.6575,296.0079705729167,2.3
2015-06-10,4290.958333333333,4363.166666666667,28462.416666666668,45.85458333333334,67.30958333333334,294.8590578125,2.45
2015-06-11,5187.541666666667,6532.166666666667,28166.5,53.56458333333333,70.7375,293.80682916666666,2.925
2015-06-12,4963.583333333333,6377.208333333333,25324.916666666668,51.25291666666667,68.16541666666667,292.44157578125004,2.65
2015-06-13,4315.291666666667,6077.375,25098.041666666668,55.747499999999995,65.29166666666667,291.30581432291666,2.158333333333333
2015-06-14,4214.291666666667,5909.916666666667,22987.541666666668,50.779583333333335,61.565000000000005,291.11391822916664,2.7333333333333334
2015-06-15,4684.385826771653,6868.062992125984,27684.227272727272,55.97651515151515,66.65613636363636,291.1287724905303,2.4318181818181817
2015-06-16,4143.912,6365.256,27659.376,52.985839999999996,65.7628,292.70882025,1.976
2015-06-17,4082.9166666666665,5088.0,28127.208333333332,47.8125,61.14958333333333,294.2065286458334,2.275
2015-06-18,4263.75,5327.333333333333,28594.416666666668,45.879583333333336,59.30833333333333,295.13550416666664,1.9833333333333334
2015-06-19,4326.166666666667,5493.75,29019.5,48.89333333333333,61.74333333333333,295.68430234375006,1.975
2015-06-20,4038.25,5338.333333333333,26426.916666666668,46.07833333333333,56.26,295.8578752604166,1.7916666666666667
2015-06-21,4306.666666666667,6097.0,24451.666666666668,48.41916666666667,59.25958333333333,296.5183442708333,1.95
